Season,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,,,,,,,,,,,,
2017,10,10,2016-11-15,@,CLE,L,117,121,118.2,122.2,99,0.188,0.302,0.563,46.5,52.2,11.1,10,,0.547,7.1,25,0.125,,0.608,15.1,73.7,0.241,13,33,0.394,20,28,0.714,10,46,26,4,7,17,18
2017,11,11,2016-11-16,,GSW,L,121,127,121.4,127.5,99.6,0.5,0.305,0.605,56.8,43.2,8,2,,0.512,12.3,31.7,0.451,,0.58,10.8,82.5,0.299,13,36,0.361,26,28,0.929,7,35,33,9,7,12,25
2017,12,12,2016-11-18,@,DEN,W,113,111,102.7,100.8,99.7,0.33,0.245,0.525,42.7,53.5,7.3,3.4,,0.5,9.3,10.7,0.202,,0.494,15.9,80.9,0.349,4,25,0.16,29,39,0.744,9,59,29,7,4,19,26
2017,13,13,2016-11-20,@,SAC,L,99,102,104,107.1,95.2,0.282,0.282,0.518,56.5,47.1,7.4,11.1,,0.453,13.6,32.7,0.259,,0.512,12.4,88.9,0.235,11,27,0.407,19,25,0.76,4,37,26,8,8,13,18
2017,14,14,2016-11-21,@,LAC,L,115,123,116.3,124.4,98.9,0.4,0.238,0.611,43.2,47.5,10.1,4.1,,0.55,10.5,10,0.338,,0.595,13.1,82.4,0.473,10,25,0.4,35,42,0.833,6,42,23,5,4,14,24
2017,15,15,2016-11-23,@,HOU,W,115,102,122,108.2,94.3,0.239,0.261,0.591,49.4,65.1,14.8,19.4,,0.557,12.6,34.9,0.193,,0.577,23.8,67.6,0.154,14,42,0.333,12,12,1,11,39,29,6,7,26,22
2017,16,16,2016-11-25,@,MIL,W,105,99,121.8,114.8,86.2,0.232,0.39,0.581,50,47.4,3.5,10,,0.549,9.1,26.2,0.183,,0.582,11.5,79.4,0.089,12,29,0.414,7,12,0.583,7,38,26,4,2,11,19
2017,17,17,2016-11-28,,PHI,W,122,95,132.7,103.4,91.9,0.403,0.247,0.673,52.5,52.4,12,15.4,,0.63,11.7,23.5,0.325,,0.5,13.2,73.9,0.105,14,34,0.412,9,13,0.692,12,38,27,9,4,14,21
2017,18,18,2016-11-30,,MEM,W,120,105,132.1,115.6,90.8,0.478,0.464,0.718,58.9,60.5,7.7,7.3,,0.667,17.7,35.7,0.406,,0.506,13,73.3,0.268,11,27,0.407,22,26,0.846,12,30,16,13,1,14,25
2017,19,19,2016-12-02,,LAL,W,113,80,123.2,87.2,91.7,0.157,0.349,0.637,48.9,55.6,8.7,7.5,,0.614,10.1,20.6,0.133,,0.376,13.7,66.1,0.108,6,26,0.231,10,17,0.588,19,46,16,6,2,16,18
2017,20,20,2016-12-03,,ATL,W,128,84,133.7,87.8,95.7,0.12,0.261,0.661,55.8,52.8,14.6,11.7,,0.647,11,32.4,0.098,,0.438,16,73.5,0.08,7,28,0.25,7,14,0.5,13,38,21,7,5,18,13
2017,21,21,2016-12-05,,CLE,L,112,116,120.6,124.9,92.9,0.307,0.364,0.561,40.7,57.9,8.6,9.6,,0.506,6.5,22.2,0.261,,0.56,12.7,63.9,0.262,14,32,0.438,22,27,0.815,13,48,21,4,3,14,21
2017,22,22,2016-12-08,,MIN,W,124,110,137.7,122.1,90.1,0.379,0.31,0.611,49.4,58.1,5.6,8.3,,0.563,7.3,37.2,0.299,,0.563,12.1,61.9,0.125,9,28,0.321,11,15,0.733,16,43,19,3,1,13,26
